learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,right_polygon.started,left_polygon.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,right_polygon.stopped,left_polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.013897900003939867,0.01862540002912283,0.01862540002912283,0.6495752000482753,space,0.6144796999869868,None,,,,,,,,,,,,,,,,,179355,001,2024-05-26_22h50.16.241,article1,2024.1.4,None,2024-05-26 22h50.24.404475 +0330,
0,0,0,0,0.6613342000637203,,,,,,,,,0.6506666000932455,0.6613342000637203,1.92839020001702,1.6451863000402227,1.6452110999962315,1.92839020001702,1.92839020001702,1.92839020001702,1.92839020001702,1.92839020001702,2.274116500047967,right,0.3440215999726206,None,,,179355,001,2024-05-26_22h50.16.241,article1,2024.1.4,None,2024-05-26 22h50.24.404475 +0330,
1,0,1,0,2.6111144000897184,,,,,,,,,2.5955764000536874,2.6111144000897184,3.6809567000018433,3.5951249999925494,3.5951572000049055,3.6809567000018433,3.6809567000018433,3.6809567000018433,3.6809567000018433,3.6809567000018433,5.973681700066663,right,2.2261442999588326,None,5.985492300009355,4.783893300103955,179355,001,2024-05-26_22h50.16.241,article1,2024.1.4,None,2024-05-26 22h50.24.404475 +0330,
2,0,2,0,6.310833099996671,,,,,,,,,6.295317800017074,6.310833099996671,7.397460200008936,7.29499140009284,7.295021400088444,7.397460200008936,7.397460200008936,7.397460200008936,7.397460200008936,7.397460200008936,8.34632600005716,right,0.8988251000409946,None,,,179355,001,2024-05-26_22h50.16.241,article1,2024.1.4,None,2024-05-26 22h50.24.404475 +0330,
,,,,8.67767740006093,,,,,,,,,8.661929300054908,8.67767740006093,9.774116100044921,9.661284000030719,9.661301500047557,9.774116100044921,9.774116100044921,9.774116100044921,9.774116100044921,9.774116100044921,,,,,,,,,,,,,,
