learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,key_resp_2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02453970001079142,0.036307499976828694,0.036307499976828694,13.775354300043546,space,13.726887400029227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507060,001,1,2024-05-28_00h32.43.095,article1,2024.1.4,None,2024-05-28 00h32.47.853756 +0330,
0,0,0,0,,,,,13.783379700034857,,,,,,,,,13.776076000067405,13.783379700034857,14.854572599986568,14.773684700019658,14.773712199996226,14.854572599986568,14.854572599986568,14.854572599986568,26,69,18.783691699965857,18.783691699965857,18.783691699965857,18.86685590003617,19.784266600036062,19.784266600036062,19.784266600036062,19.86801109998487,19.86801109998487,20.799876300035976,21.79980899998918,21.78879580006469,None,,,,,,,,,,,,,,,,,507060,001,1,2024-05-28_00h32.43.095,article1,2024.1.4,None,2024-05-28 00h32.47.853756 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.137292200000957,22.150682999985293,22.150682999985293,23.28745850000996,space,1.1333490000106394,None,,,,,,,,,,507060,001,1,2024-05-28_00h32.43.095,article1,2024.1.4,None,2024-05-28 00h32.47.853756 +0330,
,,,,,,,,23.299911000067368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2880663999822,23.299911000067368,24.287993100006133,24.288013600045815,24.370193399954587,24.370193399954587,24.370193399954587,25.667203000048175,25.683855399955064,,,,,,,,,
