learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,key_resp.rt,key_resp.duration,participant,session,learning_type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.021324099972844124,0.05232270003762096,0.05232270003762096,3.374853100045584,space,3.3069756999611855,None,,,,,,,,,,,,,,,,,,,,,,,751245,001,1,2024-05-27_13h51.46.783,article1,2024.1.4,None,2024-05-27 13h51.53.209028 +0330,
0,0,0,0,3.3943681999808177,,,,,,,,,3.376922400086187,3.3943681999808177,4.3826223000651225,4.382645300007425,4.484752900083549,4.484752900083549,4.484752900083549,48,61,8.378486100002192,8.378486100002192,8.378486100002192,8.495138099999167,9.378618300077505,9.378618300077505,9.378618300077505,9.380733500001952,None,,,,,751245,001,1,2024-05-27_13h51.46.783,article1,2024.1.4,None,2024-05-27 13h51.53.209028 +0330,
1,0,1,0,9.745273199980147,,,,,,,,,9.734506000066176,9.745273199980147,10.382339000003412,10.382353299995884,10.449692500056699,10.449692500056699,10.449692500056699,,,14.378631300060079,14.378631300060079,14.378631300060079,14.462125700083561,15.37938459997531,15.37938459997531,15.37938459997531,15.382329300045967,right,51,36,0.9177666999166831,0.17509360006079078,751245,001,1,2024-05-27_13h51.46.783,article1,2024.1.4,None,2024-05-27 13h51.53.209028 +0330,
2,0,2,0,15.746157400077209,,,,,,,,,15.732236600015312,15.746157400077209,16.381557999993674,16.38157590001356,16.447729700012133,16.447729700012133,16.447729700012133,62,54,20.378419700078666,20.378419700078666,20.378419700078666,20.461986800073646,21.378346199984662,21.378346199984662,21.378346199984662,21.38057919999119,left,,,0.7829759999876842,0.20937789999879897,751245,001,1,2024-05-27_13h51.46.783,article1,2024.1.4,None,2024-05-27 13h51.53.209028 +0330,
3,0,3,0,21.82890199997928,,,,,,,,,21.81503130006604,21.82890199997928,22.37974980007857,22.379761000047438,22.447568000061437,22.447568000061437,22.447568000061437,,,26.37831489997916,26.37831489997916,26.37831489997916,26.461596800014377,27.37871720001567,27.37871720001567,27.37871720001567,27.38097080006264,None,48,33,,,751245,001,1,2024-05-27_13h51.46.783,article1,2024.1.4,None,2024-05-27 13h51.53.209028 +0330,
,,,,27.744198700063862,,,,,,,,,27.73316880001221,27.744198700063862,28.379198000067845,28.379207400023006,28.43036530003883,28.43036530003883,28.43036530003883,68,58,,,,,,,,,,,,,,,,,,,,,,
