training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,thisRow.t,notes,text_0.started,text0.started,text0_key_resp.started,text_0.stopped,text0_key_resp.keys,text0_key_resp.rt,text0_key_resp.duration,fixation_training.started,fixation0.started,fixation0.stopped,fixation_training.stopped,main_training.started,left_image_0.started,right_image_0.started,key_resp_0.started,polygon_0.started,left_learning_reward_0.started,right_learning_reward_0.started,key_resp_0.stopped,polygon_0.stopped,left_learning_reward_0.stopped,right_learning_reward_0.stopped,left_image_0.stopped,right_image_0.stopped,main_training.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.duration,text_1.started,text1.started,text1_key_resp.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.015801699948497117,0.02683510002680123,0.02683510002680123,0.8053150000050664,space,0.7741354000754654,None,,,,,,,,,,,,,,,,,,,,,,,,,795766,001,1,2024-05-28_15h42.42.209,article1,2024.1.4,None,2024-05-28 15h42.50.552327 +0330,
0,0,0,0,0.8187586000422016,,,,,,,,,0.8076336999656633,0.8187586000422016,1.939562699990347,1.8027228999417275,1.8027517999289557,1.939562699990347,1.939562699990347,1.939562699990347,5.81927259999793,5.81927259999793,5.81927259999793,5.952809100039303,6.819207699969411,6.819207699969411,6.819207699969411,6.951597200008109,6.951597200008109,7.821692000026815,left,2.0726456999545917,0.09576490009203553,,,,795766,001,1,2024-05-28_15h42.42.209,article1,2024.1.4,None,2024-05-28 15h42.50.552327 +0330,
1,0,1,0,7.834878799971193,,,,,,,,,7.822565899929032,7.834878799971193,9.077258600038476,8.818600800004788,8.818621299928054,9.077258600038476,9.077258600038476,9.077258600038476,12.827095599961467,12.827095599961467,12.827095599961467,13.091610400006175,13.840396799962036,13.840396799962036,13.840396799962036,14.090089199948125,14.090089199948125,14.829367900034413,right,0.3478752999799326,0.20397370005957782,,,,795766,001,1,2024-05-28_15h42.42.209,article1,2024.1.4,None,2024-05-28 15h42.50.552327 +0330,
2,0,2,0,14.840247699990869,,,,,,,,,14.830060999956913,14.840247699990869,,15.844042200013064,15.844107699929737,16.102160800015554,16.102160800015554,16.102160800015554,19.835873099975288,19.835873099975288,19.835873099975288,20.10276169993449,20.83555700001307,20.83555700001307,20.83555700001307,21.101254199980758,21.101254199980758,21.823604400036857,right,1.6968699999852106,None,,,,795766,001,1,2024-05-28_15h42.42.209,article1,2024.1.4,None,2024-05-28 15h42.50.552327 +0330,
3,0,3,0,21.834906099946238,,,,,,,,,21.824442300014198,21.834906099946238,22.926892300019972,22.81958529993426,22.819630699930713,22.926892300019972,22.926892300019972,22.926892300019972,26.83621239999775,26.83621239999775,26.83621239999775,26.93560049997177,27.835416299989447,27.835416299989447,27.835416299989447,27.93487560003996,27.93487560003996,28.83896730002016,right,0.3889441000064835,None,,,,795766,001,1,2024-05-28_15h42.42.209,article1,2024.1.4,None,2024-05-28 15h42.50.552327 +0330,
4,0,4,0,28.85140009992756,,,,,,,,,28.839715600013733,28.85140009992756,29.936883299960755,29.835817400016822,29.835861700004898,29.936883299960755,29.936883299960755,29.936883299960755,33.85249019996263,33.85249019996263,33.85249019996263,33.93638440000359,34.8520070000086,34.8520070000086,34.8520070000086,34.95121740002651,34.95121740002651,35.83997059997637,right,0.29046500008553267,None,,,,795766,001,1,2024-05-28_15h42.42.209,article1,2024.1.4,None,2024-05-28 15h42.50.552327 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.840535299968906,35.85124580003321,35.85124580003321,,,,,,,,,
