learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,reward_C,reward_A2,gain_reward,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.052971200086176395,0.07613840000703931,0.07613840000703931,5.204021600075066,space,5.123037299956195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,463414,001,1,2024-05-27_21h13.08.097,article1,2024.1.4,None,2024-05-27 21h13.20.137882 +0330,
0,0,0,0,5.227846699999645,,,,,,,,,5.2060077000642195,5.227846699999645,6.215739400009625,6.215759800048545,6.399835600052029,6.399835600052029,6.399835600052029,64,66,10.226311700069346,10.226311700069346,10.226311700069346,10.409240500070155,11.22621120000258,11.22621120000258,11.22621120000258,11.409362600068562,11.409362600068562,12.225149200065061,13.240668300073594,13.219311400083825,None,,,,,463414,001,1,2024-05-27_21h13.08.097,article1,2024.1.4,None,2024-05-27 21h13.20.137882 +0330,
,,,,13.592449200106785,,,,,,,,,13.582130700000562,13.592449200106785,14.58093620010186,14.580959600047208,14.696627299999818,14.696627299999818,14.696627299999818,,,18.608283100067638,18.608283100067638,18.608283100067638,18.741460300050676,19.609315200010315,19.609315200010315,19.609315200010315,19.709160800091922,19.709160800091922,,,,,14.696627299999818,50,45,45,,,,,,,,,
