learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_C,reward_A2,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,left_image_2.stopped,right_image_2.stopped,key_resp_2.stopped,polygon_2.stopped,main_transfer.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,slider_transfer.started,slider_trns.started,mouse_trns.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.03685469995252788,0.0760973000433296,0.0760973000433296,29.723305399995297,space,29.63490239996463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593431,001,1,2024-05-28_01h31.11.627,article1,2024.1.4,None,2024-05-28 01h31.18.837764 +0330,
0,0,0,0,,,,,29.731017800047994,,,,,,,,,29.72385089995805,29.731017800047994,30.801990299951285,30.71698190004099,30.71699530002661,30.801990299951285,30.801990299951285,30.801990299951285,41,55,34.73155220004264,34.73155220004264,34.73155220004264,34.81497319997288,35.73156210000161,35.73156210000161,35.73156210000161,35.815478199976496,35.815478199976496,36.74745480006095,37.74762969999574,37.73723460000474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,593431,001,1,2024-05-28_01h31.11.627,article1,2024.1.4,None,2024-05-28 01h31.18.837764 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.088543400052004,38.09768270002678,38.09768270002678,47.273129599983804,space,9.171059500076808,None,,,,,,,,,,,,,,,,,,,,,593431,001,1,2024-05-28_01h31.11.627,article1,2024.1.4,None,2024-05-28 01h31.18.837764 +0330,
,,,,,,,,47.28099470003508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.273882400011644,47.28099470003508,48.33296689996496,48.268366100033745,48.2683873999631,48.33296689996496,48.33296689996496,48.33296689996496,54.01558400003705,55.03051409998443,55.03051409998443,55.03051409998443,56.07965600001626,56.036498600034975,right,4.669770999928005,None,56.03744089999236,56.07965600001626,0.006769599975086749,,,,,,,,,
