learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_B,reward_A1,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,main_learning.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation1.stopped,text_no_resp.started,text_no_resp.stopped,reward_A2,reward_C,text_2.started,text2.started,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.04153319995384663,0.06965580000542104,0.06965580000542104,3.5558246000437066,space,3.4727203000802547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520992,001,1,2024-05-27_22h23.22.616,article1,2024.1.4,None,2024-05-27 22h23.31.325370 +0330,
0,0,0,0,3.5934961000457406,,,,,,,,,3.5568233999656513,3.5934961000457406,4.568024600041099,4.568058699951507,4.732526700012386,4.732526700012386,4.732526700012386,60,74,74,8.577974600018933,8.577974600018933,8.577974600018933,8.761332600028254,9.578762499964796,9.578762499964796,9.578762499964796,9.745910799945705,9.745910799945705,10.56891779997386,right,0.7541853000875562,0.14568039996083826,,,,,,,,520992,001,1,2024-05-27_22h23.22.616,article1,2024.1.4,None,2024-05-27 22h23.31.325370 +0330,
1,0,1,0,10.945682000019588,,,,,,,,,10.934857300017029,10.945682000019588,11.93338009994477,11.933405200019479,12.031364799942821,12.031364799942821,12.031364799942821,38,45,,15.961127000045963,15.961127000045963,15.961127000045963,16.045263699954376,16.962176300003193,16.962176300003193,16.962176300003193,17.045309099950828,17.045309099950828,18.954597100033425,None,,,12.031364799942821,17.960608400055207,18.97704030002933,,,,,520992,001,1,2024-05-27_22h23.22.616,article1,2024.1.4,None,2024-05-27 22h23.31.325370 +0330,
2,0,2,0,19.328555200016126,,,,,,,,,19.318254900048487,19.328555200016126,20.31786229996942,20.317889499943703,20.44808300002478,20.44808300002478,20.44808300002478,,,54,24.344712999998592,24.344712999998592,24.344712999998592,24.47781179996673,25.34621300001163,25.34621300001163,25.34621300001163,25.462477499968372,25.462477499968372,26.321925100055523,left,0.9650093999225646,0.12034060002770275,20.44808300002478,,,54,44,,,520992,001,1,2024-05-27_22h23.22.616,article1,2024.1.4,None,2024-05-27 22h23.31.325370 +0330,
3,0,3,0,26.695044999942183,,,,,,,,,26.683181899948977,26.695044999942183,27.68390529998578,27.683928600046784,27.780139100039378,27.780139100039378,27.780139100039378,31,66,31,31.71112999995239,31.71112999995239,31.71112999995239,31.81115189997945,32.71219460002612,32.71219460002612,32.71219460002612,32.79488499998115,32.79488499998115,33.68526489997748,left,0.896119499928318,0.11072730005253106,,,,,,,,520992,001,1,2024-05-27_22h23.22.616,article1,2024.1.4,None,2024-05-27 22h23.31.325370 +0330,
4,0,4,0,34.06159169995226,,,,,,,,,34.049966700025834,34.06159169995226,35.05019320000429,35.05021220003255,35.14690159994643,35.14690159994643,35.14690159994643,69,73,,39.07866380002815,39.07866380002815,39.07866380002815,39.16134700004477,40.079157599946484,40.079157599946484,40.079157599946484,40.16238069999963,40.16238069999963,42.069781800033525,None,,,35.14690159994643,41.077308899955824,42.09290719998535,,,,,520992,001,1,2024-05-27_22h23.22.616,article1,2024.1.4,None,2024-05-27 22h23.31.325370 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.433109599980526,42.445300800027326,,,,,,,,,
