learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,gain_reward,key_resp.rt,key_resp.duration,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.03221999993547797,0.04285999992862344,0.04285999992862344,14.030115999979898,space,13.975947099970654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472625,001,1,2024-05-27_16h42.46.719,article1,2024.1.4,None,2024-05-27 16h42.51.187946 +0330,
0,0,0,0,14.039498499943875,,,,,,,,,14.030929400003515,14.039498499943875,15.144944199942984,15.02775989996735,15.027794199995697,15.144944199942984,15.144944199942984,15.144944199942984,45,57,15.144944199942984,16.155553699936718,19.03953069995623,19.03953069995623,19.03953069995623,19.15596280002501,20.03954679996241,20.03954679996241,20.03954679996241,20.155526699963957,20.155526699963957,20.14392229996156,None,,,,,,472625,001,1,2024-05-27_16h42.46.719,article1,2024.1.4,None,2024-05-27 16h42.51.187946 +0330,
1,0,1,0,20.506439900025725,,,,,,,,,20.494209799915552,20.506439900025725,21.55842599994503,21.492960799951106,21.492981199990027,21.55842599994503,21.55842599994503,21.55842599994503,63,45,21.55842599994503,22.572648899978958,25.50569749996066,25.50569749996066,25.50569749996066,25.572649899986573,26.50576590001583,26.50576590001583,26.50576590001583,26.572287500021048,26.572287500021048,26.559878999949433,right,45,0.4370127000147477,0.13502239994704723,,,472625,001,1,2024-05-27_16h42.46.719,article1,2024.1.4,None,2024-05-27 16h42.51.187946 +0330,
,,,,26.922738099936396,,,,,,,,,26.91077969991602,26.922738099936396,27.976303900009952,27.90885809995234,27.908879599999636,27.976303900009952,27.976303900009952,27.976303900009952,,,27.976303900009952,28.9890925999498,,,,,,,,,,,,,,,60,58,,,,,,,,,
