learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,key_resp.stopped,polygon.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.016756099998019636,0.02189949993044138,0.02189949993044138,1.0688381999498233,space,1.0285638999193907,None,,,,,,,,,,,,,,,,309909,001,2024-05-26_23h49.57.517,article1,2024.1.4,None,2024-05-26 23h50.02.990661 +0330,
0,0,0,0,1.0780937999952585,,,,,,,,,1.069394399994053,1.0780937999952585,2.157546699978411,2.0620754999108613,2.0620929999276996,2.157546699978411,2.157546699978411,2.157546699978411,6.079057900002226,6.162349499994889,7.082994699943811,7.083213199977763,left,1.1624526999657974,0.0978222000412643,309909,001,2024-05-26_23h49.57.517,article1,2024.1.4,None,2024-05-26 23h50.02.990661 +0330,
1,0,1,0,7.448906000005081,,,,,,,,,7.436708199908026,7.448906000005081,,8.084691699943505,8.084709499962628,8.170212099910714,8.170212099910714,8.170212099910714,12.083745799958706,12.184261100017466,,13.082729599904269,right,1.957903700065799,0.11071609996724874,309909,001,2024-05-26_23h49.57.517,article1,2024.1.4,None,2024-05-26 23h50.02.990661 +0330,
2,0,2,0,13.450337399961427,,,,,,,,,13.43438479991164,13.450337399961427,,14.08375300001353,14.083769099903293,14.146738399984315,14.146738399984315,14.146738399984315,18.08344059996307,18.150536199915223,19.08358919993043,19.083737700013444,left,0.7185178999789059,0.15684780001174659,309909,001,2024-05-26_23h49.57.517,article1,2024.1.4,None,2024-05-26 23h50.02.990661 +0330,
3,0,3,0,19.449685200001113,,,,,,,,,19.436385300010443,19.449685200001113,,20.085068200016394,20.085106099955738,20.166144499904476,20.166144499904476,20.166144499904476,24.083785399910994,24.167493299930356,25.083835399942473,25.08426009991672,right,0.2591323000378907,0.20134179992601275,309909,001,2024-05-26_23h49.57.517,article1,2024.1.4,None,2024-05-26 23h50.02.990661 +0330,
4,0,4,0,25.45011480001267,,,,,,,,,25.433941699913703,25.45011480001267,,26.084733999916352,26.084752299939282,26.141444699955173,26.141444699955173,26.141444699955173,30.08275980001781,30.150177599978633,31.083260699990205,31.083469499950297,right,0.3449559999862686,0.17109390010591596,309909,001,2024-05-26_23h49.57.517,article1,2024.1.4,None,2024-05-26 23h50.02.990661 +0330,
