learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006893699988722801,0.012582399998791516,0.012582399998791516,1.1742215999402106,space,1.146895199897699,None,,,,,,,,,,,,,,,,492638,001,2024-05-27_00h09.55.291,article1,2024.1.4,None,2024-05-27 00h09.59.865771 +0330,
0,0,0,0,1.1873037999030203,,,,,,,,,1.1749300999799743,1.1873037999030203,2.265743699972518,2.170817599981092,2.1708299999590963,2.265743699972518,2.265743699972518,2.265743699972518,6.187710599973798,6.271192899905145,7.174873099895194,right,1.4550769999623299,0.08481829997617751,,492638,001,2024-05-27_00h09.55.291,article1,2024.1.4,None,2024-05-27 00h09.59.865771 +0330,
1,0,1,0,7.624507299973629,,,,,,,,,7.609974299906753,7.624507299973629,,8.175746099906974,8.175763899926096,8.251524099963717,8.251524099963717,8.251524099963717,12.188367599970661,12.255034599918872,13.187907599960454,None,,,13.187548699905165,492638,001,2024-05-27_00h09.55.291,article1,2024.1.4,None,2024-05-27 00h09.59.865771 +0330,
2,0,2,0,13.553811199963093,,,,,,,,,13.539217199897394,13.553811199963093,,14.187088599894196,14.187134499894455,14.261412999941967,14.261412999941967,14.261412999941967,18.187970699975267,18.271205599885434,19.18780719989445,None,,,19.18758489994798,492638,001,2024-05-27_00h09.55.291,article1,2024.1.4,None,2024-05-27 00h09.59.865771 +0330,
,,,,19.5534561999375,,,,,,,,,19.538229599944316,19.5534561999375,,20.187851599999703,20.187885799910873,20.251622399897315,20.251622399897315,20.251622399897315,,,,,,,,,,,,,,,
