learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A1,reward_B,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.025221599964424968,0.040664799977093935,0.040664799977093935,4.589986999984831,space,4.533523399964906,None,,,,,,,,,,,,,,,,,,,,,,,,,595543,001,1,2024-05-27_15h47.17.701,article1,2024.1.4,None,2024-05-27 15h47.22.351594 +0330,
0,0,0,0,4.598371499916539,,,,,,,,,4.590852199937217,4.598371499916539,5.708894799929112,5.5879933999385685,5.588026299956255,5.708894799929112,5.708894799929112,5.708894799929112,46,23,46,9.598676200024784,9.598676200024784,9.598676200024784,9.71528619993478,10.599451399990357,10.599451399990357,10.599451399990357,10.602555499994196,left,0.7369879999896511,0.11244880000595003,,,595543,001,1,2024-05-27_15h47.17.701,article1,2024.1.4,None,2024-05-27 15h47.22.351594 +0330,
1,0,1,0,10.964763100026175,,,,,,,,,10.952406900003552,10.964763100026175,,11.603813100024126,11.603831599932164,11.669263600022532,11.669263600022532,11.669263600022532,70,50,,15.598622499965131,15.598622499965131,15.598622499965131,15.681694499915466,16.59845219994895,16.59845219994895,16.59845219994895,16.60041710000951,None,,,,,595543,001,1,2024-05-27_15h47.17.701,article1,2024.1.4,None,2024-05-27 15h47.22.351594 +0330,
,,,,16.965693300007842,,,,,,,,,16.952654400025494,16.965693300007842,,17.60214440000709,17.602160900016315,17.667688000015914,17.667688000015914,17.667688000015914,,,,21.59829200000968,21.59829200000968,21.59829200000968,21.68166639993433,,,,,,,,95,54,,,,,,,,,
