learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,fixation1.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02896699996199459,0.05891439993865788,0.05891439993865788,2.859046799945645,space,2.794523400021717,None,,,,,,,,,,,,,,,,,,,,,,,,103046,001,1,2024-05-27_16h29.31.800,article1,2024.1.4,None,2024-05-27 16h29.36.854918 +0330,
0,0,0,0,2.873587299953215,,,,,,,,,2.8599589999066666,2.873587299953215,3.87162009999156,3.8716394999064505,3.973298899945803,3.973298899945803,3.973298899945803,73,41,3.973298899945803,4.9839945998974144,7.867431199993007,7.867431199993007,7.867431199993007,7.984407699899748,8.868292499915697,8.868292499915697,8.868292499915697,8.983445099904202,8.983445099904202,8.972607099916786,None,,103046,001,1,2024-05-27_16h29.31.800,article1,2024.1.4,None,2024-05-27 16h29.36.854918 +0330,
,,,,9.333540299907327,,,,,,,,,9.321705199894495,9.333540299907327,10.321853299974464,10.321886499994434,10.386247899965383,10.386247899965383,10.386247899965383,43,56,10.386247899965383,11.400521499919705,,,,,,,,,,,,10.386247899965383,,,,,,,,,
