learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,key_resp.rt,key_resp.duration,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02858149993699044,0.055184299941174686,0.055184299941174686,11.43957429996226,space,11.380067499936558,None,,,,,,,,,,,,,,,,,,,,,,,,463881,001,2,2024-05-27_13h54.12.642,article1,2024.1.4,None,2024-05-27 13h54.22.277186 +0330,
0,0,0,0,11.447512499988079,,,,,,,,,11.440364899928682,11.447512499988079,12.517069699941203,12.436509600025602,12.436535899993032,12.517069699941203,12.517069699941203,12.517069699941203,49,54,16.447355199954472,16.447355199954472,16.447355199954472,16.530826200032607,17.447949399938807,17.447949399938807,17.447949399938807,17.4506979000289,None,,,,,463881,001,2,2024-05-27_13h54.12.642,article1,2024.1.4,None,2024-05-27 13h54.22.277186 +0330,
1,0,1,0,17.813579199952073,,,,,,,,,17.802512699970976,17.813579199952073,,18.452202099957503,18.452220999985002,18.499347100034356,18.499347100034356,18.499347100034356,,,22.446950300014578,22.446950300014578,22.446950300014578,22.514389400021173,23.44675709994044,23.44675709994044,23.44675709994044,23.44920050003566,right,58,47,1.0131991999223828,0.16878300008829683,463881,001,2,2024-05-27_13h54.12.642,article1,2024.1.4,None,2024-05-27 13h54.22.277186 +0330,
2,0,2,0,23.814768699929118,,,,,,,,,23.802508499938995,23.814768699929118,,24.451248400029726,24.45126659993548,24.516042200033553,24.516042200033553,24.516042200033553,90,54,28.44724629994016,28.44724629994016,28.44724629994016,28.530830799951218,29.446920600021258,29.446920600021258,29.446920600021258,29.44890039996244,None,,,,,463881,001,2,2024-05-27_13h54.12.642,article1,2024.1.4,None,2024-05-27 13h54.22.277186 +0330,
3,0,3,0,29.81435929995496,,,,,,,,,29.800496199983172,29.81435929995496,,30.44929040002171,30.44930600002408,30.499180399929173,30.499180399929173,30.499180399929173,,,34.449667799985036,34.449667799985036,34.449667799985036,34.51317739998922,,,,35.44950690004043,left,64,23,0.41360319999512285,0.21581820002757013,463881,001,2,2024-05-27_13h54.12.642,article1,2024.1.4,None,2024-05-27 13h54.22.277186 +0330,
,,,,35.81300409999676,,,,,,,,,35.79823249997571,35.81300409999676,,36.45081910002045,36.4508411999559,36.54923619993497,36.54923619993497,36.54923619993497,,,40.446766400011256,40.446766400011256,40.446766400011256,40.56375530001242,,,,,,64,46,,,,,,,,,,,
