learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,learning_complete.stopped,key_resp.keys,reward_A2,reward_C,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.10500730003695935,0.10785620007663965,0.10785620007663965,0.4893754000077024,space,0.3640141000505537,None,,,,,,,,,,,,,,,,,,,982398,001,2024-05-27_11h53.50.567,article1,2024.1.4,None,2024-05-27 11h53.55.342805 +0330,
0,0,0,0,0.5024024000158533,,,,,,,,,0.49035340000409633,0.5024024000158533,1.6328842000802979,1.4868734000483528,1.4868945000926033,1.6328842000802979,1.6328842000802979,1.6328842000802979,74,45,5.56995940010529,5.56995940010529,5.56995940010529,5.639903700095601,6.48992660001386,None,,,982398,001,2024-05-27_11h53.50.567,article1,2024.1.4,None,2024-05-27 11h53.55.342805 +0330,
1,0,1,0,6.857728700037114,,,,,,,,,6.842953899991699,6.857728700037114,,7.491786500089802,7.491813100059517,7.588906700024381,7.588906700024381,7.588906700024381,,,11.4906618000241,11.4906618000241,11.4906618000241,11.590026800055057,12.490105300094001,None,73,34,982398,001,2024-05-27_11h53.50.567,article1,2024.1.4,None,2024-05-27 11h53.55.342805 +0330,
,,,,12.858280000044033,,,,,,,,,12.842314600013196,12.858280000044033,,13.491070199990645,13.491157600074075,13.583413500105962,13.583413500105962,13.583413500105962,59,51,,,,,,,,,,,,,,,,
