learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,text_no_resp.started,text_no_resp.stopped,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.03359860007185489,0.062187000061385334,0.062187000061385334,5.127728100051172,space,5.053937399992719,None,,,,,,,,,,,,,,,,,,,,,,,698894,001,1,2024-05-27_15h50.25.959,article1,2024.1.4,None,2024-05-27 15h50.30.617451 +0330,
0,0,0,0,5.137729000067338,,,,,,,,,5.128816900076345,5.137729000067338,6.140952400048263,6.140970800071955,6.27686470001936,6.27686470001936,6.27686470001936,67,33,6.27686470001936,7.288572299992666,10.137916499981657,10.137916499981657,10.137916499981657,10.28737719997298,11.138649099972099,11.138649099972099,11.138649099972099,11.287620400078595,11.287620400078595,11.274549699970521,None,698894,001,1,2024-05-27_15h50.25.959,article1,2024.1.4,None,2024-05-27 15h50.30.617451 +0330,
,,,,11.853370500029996,,,,,,,,,11.839258100022562,11.853370500029996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
