learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,transfer_trials.thisRepN,transfer_trials.thisTrialN,transfer_trials.thisN,transfer_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,main_learning.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,text_no_resp.started,text_no_resp.stopped,main_learning.stopped,key_resp.keys,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,fixation_transfer.started,fixation2.started,fixation2.stopped,fixation_transfer.stopped,main_transfer.started,left_image_2.started,right_image_2.started,key_resp_2.started,polygon_2.started,polygon_2.stopped,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.009722999995574355,0.026232499978505075,0.026232499978505075,1.80449160002172,space,1.7653116000583395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961914,001,1,2024-05-27_22h50.49.565,article1,2024.1.4,None,2024-05-27 22h50.58.654041 +0330,
0,0,0,0,,,,,1.8267132999608293,,,,,,,,,1.8058838000288233,1.8267132999608293,2.812983399955556,2.813002399983816,3.0053575000492856,3.0053575000492856,3.0053575000492856,74,68,6.824606499983929,6.824606499983929,6.824606499983929,7.008065599948168,7.825334899942391,7.825334899942391,7.825334899942391,8.008056499995291,8.008056499995291,8.823732199962251,9.839798099943437,9.816574699943885,None,,,,,,,,,,,,,,,,,,961914,001,1,2024-05-27_22h50.49.565,article1,2024.1.4,None,2024-05-27 22h50.58.654041 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.179631100036204,10.192078299936838,10.192078299936838,14.76527850003913,space,4.567171200062148,None,,,,,,,,,,,961914,001,1,2024-05-27_22h50.49.565,article1,2024.1.4,None,2024-05-27 22h50.58.654041 +0330,
,,,,,,,,14.774579899967648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.766350999940187,14.774579899967648,15.980348899960518,15.765813900041394,15.765850699972361,15.980348899960518,15.980348899960518,15.980348899960518,19.775894399965182,20.77553840004839,,,,,,,,,
