learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A2,reward_C,participant,session,learning_type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.038984899991191924,0.07220279995817691,0.07220279995817691,20.28434249991551,space,20.209034299943596,None,,,,,,,,,,,,,,,,,,,,,,,,473126,001,2,2024-05-27_13h27.52.883,article1,2024.1.4,None,2024-05-27 13h28.02.795478 +0330,
0,0,0,0,20.296271599945612,,,,,,,,,20.285011800006032,20.296271599945612,21.384336999966763,21.283138799946755,21.28316230000928,21.384336999966763,21.384336999966763,21.384336999966763,57,48,25.293846299988218,25.293846299988218,25.293846299988218,25.394343999912962,26.294451599940658,26.294451599940658,26.294451599940658,26.2966247999575,left,2.1536573000485078,0.1399111000355333,,,473126,001,2,2024-05-27_13h27.52.883,article1,2024.1.4,None,2024-05-27 13h28.02.795478 +0330,
1,0,1,0,26.66015679994598,,,,,,,,,26.648899899912067,26.66015679994598,,27.29524649993982,27.295265599968843,27.363408399978653,27.363408399978653,27.363408399978653,,,31.293707699980587,31.293707699980587,31.293707699980587,31.37776139995549,32.293825099943206,32.293825099943206,32.293825099943206,32.29549049993511,None,,,61,57,473126,001,2,2024-05-27_13h27.52.883,article1,2024.1.4,None,2024-05-27 13h28.02.795478 +0330,
2,0,2,0,32.66138549998868,,,,,,,,,32.64691110001877,32.66138549998868,,33.29736789991148,33.297383199911565,33.36391630000435,33.36391630000435,33.36391630000435,,,37.293661599978805,37.293661599978805,37.293661599978805,37.377326100016944,38.29394979996141,38.29394979996141,38.29394979996141,38.29578449996188,None,,,71,39,473126,001,2,2024-05-27_13h27.52.883,article1,2024.1.4,None,2024-05-27 13h28.02.795478 +0330,
3,0,3,0,38.66087179991882,,,,,,,,,38.647360699949786,38.66087179991882,,39.296082200016826,39.29609590000473,39.34788859996479,39.34788859996479,39.34788859996479,64,70,43.29342859995086,43.29342859995086,43.29342859995086,43.36058759992011,44.29488109995145,44.29488109995145,44.29488109995145,44.2976208999753,right,1.2840658000204712,0.2001350000500679,,,473126,001,2,2024-05-27_13h27.52.883,article1,2024.1.4,None,2024-05-27 13h28.02.795478 +0330,
4,0,4,0,44.660336799919605,,,,,,,,,44.64686370000709,44.660336799919605,,45.29476700001396,45.29477679997217,45.345405299915,45.345405299915,45.345405299915,39,59,49.29337620001752,49.29337620001752,49.29337620001752,49.36041929991916,50.294598900014535,50.294598900014535,50.294598900014535,50.29718789993785,None,,,,,473126,001,2,2024-05-27_13h27.52.883,article1,2024.1.4,None,2024-05-27 13h28.02.795478 +0330,
,,,,50.66069109993987,,,,,,,,,50.647406199947,50.66069109993987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
