learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,polygon.started,key_resp.stopped,polygon.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007325400016270578,0.03302680002525449,0.03302680002525449,1.568529300042428,space,1.5176167000317946,None,,,,,,,,,,,,,,,,137940 ,001,2024-05-27_00h07.56.201,article1,2024.1.4,None,2024-05-27 00h08.04.410462 +0330,
0,0,0,0,1.582610800047405,,,,,,,,,1.5691401000367478,1.582610800047405,2.642231800011359,2.566266900044866,2.5662818000419065,2.642231800011359,2.642231800011359,2.642231800011359,6.5831585000269115,6.648243600036949,7.5851011000340804,7.585571400006302,right,2.9693668000400066,0.11272990005090833,137940 ,001,2024-05-27_00h07.56.201,article1,2024.1.4,None,2024-05-27 00h08.04.410462 +0330,
1,0,1,0,7.9501360999420285,,,,,,,,,7.936667799949646,7.9501360999420285,,8.584179800003767,8.584208099986427,8.663735899957828,8.663735899957828,8.663735899957828,12.591775999986567,12.666707600001246,,13.569152100011706,None,,,137940 ,001,2024-05-27_00h07.56.201,article1,2024.1.4,None,2024-05-27 00h08.04.410462 +0330,
2,0,2,0,13.950501100043766,,,,,,,,,13.934612500015646,13.950501100043766,,14.582236099988222,14.582252399995923,14.630866899969988,14.630866899969988,14.630866899969988,18.58352610003203,18.6320247000549,19.584579600021243,19.58516330004204,left,1.1774514999706298,0.16389590001199394,137940 ,001,2024-05-27_00h07.56.201,article1,2024.1.4,None,2024-05-27 00h08.04.410462 +0330,
3,0,3,0,19.94915130001027,,,,,,,,,19.934596800012514,19.94915130001027,,20.583552800002508,20.583573000039905,20.654555600020103,20.654555600020103,20.654555600020103,24.583272899966687,24.66685190005228,25.58217780000996,25.58229679998476,None,,,137940 ,001,2024-05-27_00h07.56.201,article1,2024.1.4,None,2024-05-27 00h08.04.410462 +0330,
4,0,4,0,26.14888360002078,,,,,,,,,26.13299019995611,26.14888360002078,,26.582615099963732,26.582687700050883,26.634651300031692,26.634651300031692,26.634651300031692,30.583900299970992,30.650307800038718,31.583559799939394,31.583915299968794,None,,,137940 ,001,2024-05-27_00h07.56.201,article1,2024.1.4,None,2024-05-27 00h08.04.410462 +0330,
,,,,31.949293000041507,,,,,,,,,31.932734000030905,31.949293000041507,,32.58374160004314,32.58375939994585,32.637666299939156,32.637666299939156,32.637666299939156,,,,,,,,,,,,,,,
