learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A2,reward_C,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,learning_complete.stopped,key_resp.keys,reward_A1,reward_B,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006173800094984472,0.010301200090907514,0.010301200090907514,1.9486971000442281,space,1.9305057000601664,None,,,,,,,,,,,,,,,,,,,,,,,,259174,001,2024-05-27_11h55.09.027,article1,2024.1.4,None,2024-05-27 11h55.18.346373 +0330,
0,0,0,0,1.9606103000696748,,,,,,,,,1.9496946000726894,1.9606103000696748,3.0246235000668094,2.9441720000468194,2.9441828000126407,3.0246235000668094,3.0246235000668094,3.0246235000668094,63,27,6.9609586000442505,6.9609586000442505,6.9609586000442505,7.027412099996582,7.9646386000094935,7.9646386000094935,7.9646386000094935,7.964784900075756,None,,,,,259174,001,2024-05-27_11h55.09.027,article1,2024.1.4,None,2024-05-27 11h55.18.346373 +0330,
1,0,1,0,8.33250850008335,,,,,,,,,8.318309900001623,8.33250850008335,,8.949828800046816,8.94984870008193,9.035537400050089,9.035537400050089,9.035537400050089,,,12.947864500107244,12.947864500107244,12.947864500107244,13.049687799997628,13.94821210007649,13.94821210007649,13.94821210007649,13.965505400090478,None,46,38,,,259174,001,2024-05-27_11h55.09.027,article1,2024.1.4,None,2024-05-27 11h55.18.346373 +0330,
2,0,2,0,14.331485800095834,,,,,,,,,14.317858700058423,14.331485800095834,,14.950315300025977,14.950344800017774,15.013115500099957,15.013115500099957,15.013115500099957,60,48,19.02853040001355,19.02853040001355,19.02853040001355,19.02853040001355,,,,19.960844300105236,None,,,,,259174,001,2024-05-27_11h55.09.027,article1,2024.1.4,None,2024-05-27 11h55.18.346373 +0330,
3,0,3,0,20.327243000036106,,,,,,,,,20.311770500033163,20.327243000036106,,20.96055570000317,20.960584900109097,21.015822800109163,21.015822800109163,21.015822800109163,75,53,24.96086000010837,24.96086000010837,24.96086000010837,25.02743450005073,25.960804200032726,25.960804200032726,25.960804200032726,25.961065500043333,left,,,1.6695714999223128,0.17532440007198602,259174,001,2024-05-27_11h55.09.027,article1,2024.1.4,None,2024-05-27 11h55.18.346373 +0330,
4,0,4,0,26.326757400063798,,,,,,,,,26.31168050004635,26.326757400063798,,26.960469200043008,26.96050250006374,27.010430800030008,27.010430800030008,27.010430800030008,,,30.96074230002705,30.96074230002705,30.96074230002705,31.010799700045027,31.96068220003508,31.96068220003508,31.96068220003508,31.961084000067785,right,48,82,1.1554452000418678,0.15992450003977865,259174,001,2024-05-27_11h55.09.027,article1,2024.1.4,None,2024-05-27 11h55.18.346373 +0330,
,,,,32.326905700028874,,,,,,,,,32.31154690007679,32.326905700028874,,32.960585099994205,32.96073140006047,33.014684200054035,33.014684200054035,33.014684200054035,79,55,,,,,,,,,,,,,,,,,,,,,
