learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.013499599997885525,0.022534399991855025,0.022534399991855025,1.4946704000467435,space,1.4614704000996426,None,,,,,,,,,,,,,620954,001,2024-05-26_23h25.29.177,article1,2024.1.4,None,2024-05-26 23h25.36.394310 +0330,
0,0,0,0,1.510166099993512,,,,,,,,,1.4959335000021383,1.510166099993512,2.5045212999684736,2.504558900021948,2.6440423999447376,2.6440423999447376,2.6440423999447376,3.3143282999517396,right,0.62915689998772,None,,620954,001,2024-05-26_23h25.29.177,article1,2024.1.4,None,2024-05-26 23h25.36.394310 +0330,
1,0,1,0,3.685891899978742,,,,,,,,,3.6722145000239834,3.685891899978742,4.671343900030479,4.671382399974391,4.759942000033334,4.759942000033334,4.759942000033334,5.105793599970639,left,0.2959567999932915,None,4.759942000033334,620954,001,2024-05-26_23h25.29.177,article1,2024.1.4,None,2024-05-26 23h25.36.394310 +0330,
2,0,2,0,5.469072900013998,,,,,,,,,5.4539130999473855,5.469072900013998,6.453508500009775,6.453531599952839,6.557554899947718,6.557554899947718,6.557554899947718,6.868660100037232,left,0.25843800010625273,None,6.557554899947718,620954,001,2024-05-26_23h25.29.177,article1,2024.1.4,None,2024-05-26 23h25.36.394310 +0330,
3,0,3,0,7.236256700009108,,,,,,,,,7.222668900038116,7.236256700009108,8.220615900005214,8.220649100025184,8.324243400013074,8.324243400013074,8.324243400013074,8.644242399954237,right,0.2538419000338763,None,8.324243400013074,620954,001,2024-05-26_23h25.29.177,article1,2024.1.4,None,2024-05-26 23h25.36.394310 +0330,
4,0,4,0,9.169762299978174,,,,,,,,,9.155950699932873,9.169762299978174,10.154556000023149,10.154595899977721,10.265557799953967,10.265557799953967,10.265557799953967,11.813671699957922,left,1.5195736000314355,None,10.265557799953967,620954,001,2024-05-26_23h25.29.177,article1,2024.1.4,None,2024-05-26 23h25.36.394310 +0330,
