dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0032091999892145395,0.007264699903316796,0.007264699903316796,4.563692900002934,space,4.502474199980497,None,,,,,,,,,,,,,,,,,,,558311,001,2024-05-29_01h02.09.410,article2,2024.1.4,None,2024-05-29 01h02.15.374493 +0330,
27,0.5,3.png,0,0,0,1,4.585640099947341,,,,,,,,,4.582789399893954,4.585640099947341,10.694572699954733,10.579993199906312,10.580040699918754,10.694572699954733,10.694572699954733,10.694572699954733,10.694572699954733,14.61665099998936,14.725868899957277,15.615690099890344,3.png,Accept,Reject,right,1.3913813999388367,0.08046169998124242,558311,001,2024-05-29_01h02.09.410,article2,2024.1.4,None,2024-05-29 01h02.15.374493 +0330,
50,0.57,5.png,0,1,1,3,15.621679599978961,,,,,,,,,15.619481799891219,15.621679599978961,17.66600479988847,17.612915999954566,17.61298039997928,17.66600479988847,17.66600479988847,17.66600479988847,17.66600479988847,21.630130899953656,21.695700399926864,22.63379889994394,5.png,Accept,Reject,left,0.4395726000657305,0.08943359996192157,558311,001,2024-05-29_01h02.09.410,article2,2024.1.4,None,2024-05-29 01h02.15.374493 +0330,
12,0.4,2.png,0,2,2,0,22.636458299937658,,,,,,,,,22.634204299887642,22.636458299937658,28.683393299928866,28.62968319992069,28.629740699892864,28.683393299928866,28.683393299928866,28.683393299928866,28.683393299928866,32.649512699921615,32.71691839990672,33.64174349990208,2.png,Reject,Accept,None,,,558311,001,2024-05-29_01h02.09.410,article2,2024.1.4,None,2024-05-29 01h02.15.374493 +0330,
,,,,,,,33.644364499952644,,,,,,,,,33.64199669996742,33.644364499952644,,,,,,,,,,,,,,,,,,,,,,,,
