dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,observe_trials_averse.thisRepN,observe_trials_averse.thisTrialN,observe_trials_averse.thisN,observe_trials_averse.thisIndex,predict_trials.thisRepN,predict_trials.thisTrialN,predict_trials.thisN,predict_trials.thisIndex,observe_trials_seek.thisRepN,observe_trials_seek.thisTrialN,observe_trials_seek.thisN,observe_trials_seek.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial_averse.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial_averse.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,third_click.started,text3.started,text3_key_resp.started,third_click.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,text_3.started,text4.started,text4_key_resp.started,text_3.stopped,text4_key_resp.keys,text4_key_resp.rt,text4_key_resp.duration,predict_trial.started,image3.started,textbox_left_3.started,textbox_right_3.started,key_resp_2.started,polygon_3.started,key_resp_2.stopped,predict_trial.stopped,image_name_pred,textbox_left_pred,textbox_right_pred,selection_pred,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,observe_trial_seek.started,image4.started,textbox_left_4.started,textbox_right_4.started,polygon_4.started,observe_trial_seek.stopped,image_name_obs_2,textbox_left_obs_2,textbox_right_obs_2,selection_obs_2,participant,session,aversion probability,seek probability,date,expName,psychopyVersion,frameRate,expStart,
27,0.5,3.png,,,,,,,,,0,1,1,1,,,,,76.25421030004509,,,,,,,,,76.25178419996519,76.25421030004509,80.29706639994401,80.25084759993479,,,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.25089529994875,80.29706639994401,80.29706639994401,80.29706639994401,80.29706639994401,84.28685229993425,84.32132690004073,85.25578010000754,3.png,Accept,Reject,Reject,right,1.1622031000442803,0.11756299994885921,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
50,0.57,5.png,,,,,,,,,0,2,2,3,,,,,85.25849919999018,,,,,,,,,85.25622330000624,85.25849919999018,90.29084739997052,90.25006370001938,,,,,,,,,5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.25010239996482,90.29084739997052,90.29084739997052,90.29084739997052,90.29084739997052,94.27942839998286,94.3149446999887,95.25556620000862,5.png,Accept,Reject,Accept,left,0.5532899000681937,0.1182652999414131,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
32,0.5,6.png,,,,,,,,,0,3,3,4,,,,,95.25837559998035,,,,,,,,,95.25592899997719,95.25837559998035,101.28454030002467,101.24981720000505,,,,,,,,,6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.24983959994279,101.28454030002467,101.28454030002467,101.28454030002467,101.28454030002467,105.28467700001784,105.31860939995386,106.277724100044,6.png,Accept,Reject,Reject,right,0.5561725000152364,0.1569568000268191,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
12,0.4,2.png,,,,,,,,,0,4,4,0,,,,,106.2802896000212,,,,,,,,,106.27812699996866,106.2802896000212,109.3107166000409,109.26735919993371,,,,,,,,,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.26740979996976,109.3107166000409,109.3107166000409,109.3107166000409,109.3107166000409,113.3000558000058,113.33461060002446,114.29895780002698,2.png,Accept,Reject,Accept,left,0.5059431000845507,0.144827299984172,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.29927159997169,114.30209330003709,114.30209330003709,119.05117969994899,space,4.737089600064792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
50,0.57,5.png,,,,,,,,,,,,,0,0,0,3,119.06787060003262,,,,,,,,,119.06516699993517,119.06787060003262,121.12757919996511,121.06690370000433,,,,,,,,,5.png,,,,,,,,,,,,,,,,,,,,,,,,126.08547139994334,126.08766049996484,126.08766049996484,127.66606369998772,space,1.571560600074008,None,,,,,,,,,,,,,,,,,,,,,,,121.06695919996127,121.12757919996511,121.12757919996511,121.12757919996511,125.10765030002221,126.08544309996068,5.png,Accept,Reject,Accept,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
27,0.5,3.png,,,,,,,,,,,,,0,1,1,1,127.6818726999918,,,,,,,,,127.66687309998088,127.6818726999918,132.70550309994724,132.6659297000151,,,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,,,,137.6737967999652,137.67619579995517,137.67619579995517,140.08343230001628,space,2.39384080003947,None,,,,,,,,,,,,,,,,,,,,,,,132.66597999993246,132.70550309994724,132.70550309994724,132.70550309994724,136.70244379993528,137.67376539995894,3.png,Reject,Accept,Accept,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
20,0.61,4.png,,,,,,,,,,,,,0,2,2,2,140.0983048999915,,,,,,,,,140.08410149998963,140.0983048999915,145.1271196999587,145.0824698000215,,,,,,,,,4.png,,,,,,,,,,,,,,,,,,,,,,,,150.11422470002435,150.116737299948,150.116737299948,151.46670829993673,space,1.3452685000374913,None,,,,,,,,,,,,,,,,,,,,,,,145.0825098999776,145.1271196999587,145.1271196999587,145.1271196999587,149.11142999993172,150.1142001999542,4.png,Accept,Reject,Accept,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
32,0.5,6.png,,,,,,,,,,,,,0,3,3,4,151.48185540002305,,,,,,,,,151.46737059997395,151.48185540002305,156.5104906000197,156.4661344999913,,,,,,,,,6.png,,,,,,,,,,,,,,,,,,,,,,,,161.4677009000443,161.47056089993566,161.47056089993566,162.96732980001252,space,1.48485280002933,None,,,,,,,,,,,,,,,,,,,,,,,156.46618560003117,156.5104906000197,156.5104906000197,156.5104906000197,160.51266220002435,161.46766790002584,6.png,Reject,Accept,Accept,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
12,0.4,2.png,,,,,,,,,,,,,0,4,4,0,162.98122560000047,,,,,,,,,162.96812900004443,162.98122560000047,167.0069050999591,166.9657360999845,,,,,,,,,2.png,,,,,,,,,,,,,,,,,,,,,,,,171.98166649998166,171.9839739999734,171.9839739999734,173.18357889994513,space,1.1922168000601232,None,,,,,,,,,,,,,,,,,,,,,,,166.96577829995658,167.0069050999591,167.0069050999591,167.0069050999591,171.01028819999192,171.98163980001118,2.png,Accept,Reject,Accept,992560,001,0.3,0.7,2024-05-29_06h14.57.062,article2,2024.1.4,None,2024-05-29 06h15.02.751922 +0330,
