selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.021787600009702146,0.034619699930772185,0.034619699930772185,1.1745602999581024,space,1.1303080999059603,None,,,,,,,049141,001,2024-05-28_23h09.34.139,article2,2024.1.4,None,2024-05-28 23h09.47.479168 +0330,
,,,,1.1850043999729678,,,,,,,,,1.1753564999671653,1.1850043999729678,,4.705633500008844,4.705660399980843,,,,,,,,,
