dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,self_trial.stopped,image_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0035880000796169043,0.01534929999615997,0.01534929999615997,2.821506100008264,space,2.791471599950455,None,,,,,,,,,527623 ,001,2024-05-28_23h43.44.501,article2,2024.1.4,None,2024-05-28 23h43.52.513047 +0330,
12,0.4,2.png,0,0,0,0,2.8525596000254154,,,,,,,,,2.846531999995932,2.8525596000254154,6.063258600072004,5.869685600046068,5.869736599968746,6.063258600072004,9.879773100023158,2.png,527623 ,001,2024-05-28_23h43.44.501,article2,2024.1.4,None,2024-05-28 23h43.52.513047 +0330,
27,0.5,3.png,0,1,1,1,9.901176400016993,,,,,,,,,9.880996700027026,9.901176400016993,15.631053099990822,15.569264300051145,15.5693247000454,15.631053099990822,19.584540600073524,3.png,527623 ,001,2024-05-28_23h43.44.501,article2,2024.1.4,None,2024-05-28 23h43.52.513047 +0330,
