dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,observe_trials_averse.thisRepN,observe_trials_averse.thisTrialN,observe_trials_averse.thisN,observe_trials_averse.thisIndex,predict_trials.thisRepN,predict_trials.thisTrialN,predict_trials.thisN,predict_trials.thisIndex,observe_trials_seek.thisRepN,observe_trials_seek.thisTrialN,observe_trials_seek.thisN,observe_trials_seek.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,text_2.stopped,text2_key_resp.keys,text2_key_resp.rt,text2_key_resp.duration,observe_trial_averse.started,image2.started,textbox_left_2.started,textbox_right_2.started,polygon_2.started,observe_trial_averse.stopped,image_name_obs,textbox_left_obs,textbox_right_obs,selection_obs,third_click.started,text3.started,text3_key_resp.started,third_click.stopped,text3_key_resp.keys,text3_key_resp.rt,text3_key_resp.duration,text_3.started,text4.started,text4_key_resp.started,text_3.stopped,text4_key_resp.keys,text4_key_resp.rt,text4_key_resp.duration,predict_trial.started,image3.started,textbox_left_3.started,textbox_right_3.started,key_resp_2.started,polygon_3.started,key_resp_2.stopped,predict_trial.stopped,image_name_pred,textbox_left_pred,textbox_right_pred,selection_pred,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,observe_trial_seek.started,image4.started,textbox_left_4.started,textbox_right_4.started,polygon_4.started,observe_trial_seek.stopped,image_name_obs_2,textbox_left_obs_2,textbox_right_obs_2,selection_obs_2,participant,session,seeker observee,averse observee,date,expName,psychopyVersion,frameRate,expStart,
50,0.57,5.png,,,,,,,,,0,1,1,3,,,,,81.05296080000699,,,,,,,,,81.05090829997789,81.05296080000699,83.08802110003307,83.04263709997758,,,,,,,,,5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0426843999885,83.08802110003307,83.08802110003307,83.08802110003307,83.08802110003307,87.08629649993964,87.11960410000756,88.07672649994493,5.png,Accept,Reject,Reject,right,1.5194663000293076,0.09552670002449304,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
32,0.5,6.png,,,,,,,,,0,2,2,4,,,,,88.07934169995133,,,,,,,,,88.07705820002593,88.07934169995133,90.1163843999384,90.07623430003878,,,,,,,,,6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.07627309998497,90.1163843999384,90.1163843999384,90.1163843999384,90.1163843999384,94.11767459998373,94.15147279994562,95.09509930002969,6.png,Reject,Accept,Accept,right,1.821351999999024,0.12200360000133514,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
20,0.61,4.png,,,,,,,,,0,3,3,2,,,,,95.09777390002273,,,,,,,,,95.09539839997888,95.09777390002273,98.13265039992984,98.09283660002984,,,,,,,,,4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.09288499993272,98.13265039992984,98.13265039992984,98.13265039992984,98.13265039992984,102.14166269998532,102.17684570001438,103.09753819997422,4.png,Accept,Reject,Accept,left,2.0959519000025466,0.08932760008610785,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
27,0.5,3.png,,,,,,,,,0,4,4,1,,,,,103.1016801999649,,,,,,,,,103.09805449994747,103.1016801999649,108.1327261000406,108.09247559995856,,,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.09251719992608,108.1327261000406,108.1327261000406,108.1327261000406,108.1327261000406,112.10845519998111,112.17481599992607,113.10179909993894,3.png,Reject,Accept,,None,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.10194960003719,113.10438639996573,113.10438639996573,123.27634809992742,space,10.1700101000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
50,0.57,5.png,,,,,,,,,,,,,0,0,0,3,123.2913124000188,,,,,,,,,123.28827289992478,123.2913124000188,125.32328399992548,125.27514469996095,,,,,,,,,5.png,,,,,,,,,,,,,,,,,,,,,,,,130.30171299993526,130.3040950000286,130.3040950000286,131.59322869998869,space,1.2813342999434099,None,,,,,,,,,,,,,,,,,,,,,,,125.2751847000327,125.32328399992548,125.32328399992548,125.32328399992548,129.3210975000402,130.30168669996783,5.png,Accept,Reject,Reject,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
32,0.5,6.png,,,,,,,,,,,,,0,1,1,4,131.60723059996963,,,,,,,,,131.59420369996224,131.60723059996963,136.6316600999562,136.59156989993062,,,,,,,,,6.png,,,,,,,,,,,,,,,,,,,,,,,,141.6062610000372,141.6085449999664,141.6085449999664,142.2927675000392,space,0.6757493000477552,None,,,,,,,,,,,,,,,,,,,,,,,136.5916074999841,136.6316600999562,136.6316600999562,136.6316600999562,140.61360079993028,141.60623469995335,6.png,Accept,Reject,Accept,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
27,0.5,3.png,,,,,,,,,,,,,0,2,2,1,142.30718380003236,,,,,,,,,142.2936215000227,142.30718380003236,144.33714169997256,144.2924222999718,,,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,,,,149.30102429992985,149.30361059994902,149.30361059994902,149.94234840001445,space,0.6280987000791356,None,,,,,,,,,,,,,,,,,,,,,,,144.29248790000565,144.33714169997256,144.33714169997256,144.33714169997256,148.31409030000214,149.30099979997613,3.png,Reject,Accept,Reject,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
20,0.61,4.png,,,,,,,,,,,,,0,3,3,2,149.95687039999757,,,,,,,,,149.94323919992894,149.95687039999757,153.9835402999306,153.94185870001093,,,,,,,,,4.png,,,,,,,,,,,,,,,,,,,,,,,,158.94505929993466,158.94765470002312,158.94765470002312,159.74239000002854,space,0.7860809999983758,None,,,,,,,,,,,,,,,,,,,,,,,153.94191109994426,153.9835402999306,153.9835402999306,153.9835402999306,157.98041800002102,158.94503479998093,4.png,Reject,Accept,Reject,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
12,0.4,2.png,,,,,,,,,,,,,0,4,4,0,159.75701840000693,,,,,,,,,159.7431581999408,159.75701840000693,161.7809302000096,161.74143219995312,,,,,,,,,2.png,,,,,,,,,,,,,,,,,,,,,,,,166.75173479993828,166.75438970001414,166.75438970001414,168.22500460001174,space,1.453808099962771,None,,,,,,,,,,,,,,,,,,,,,,,161.74151049996726,161.7809302000096,161.7809302000096,161.7809302000096,165.77989819995128,166.75170359993353,2.png,Reject,Accept,Accept,458630,001,0.7,0.3,2024-05-29_06h50.11.397,article2,2024.1.4,None,2024-05-29 06h50.16.920203 +0330,
