selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.04737849999219179,0.07766099995933473,0.07766099995933473,2.70691499998793,space,2.620023199939169,None,,,,,,948224 ,001,2024-05-28_22h35.31.037,article2,2024.1.4,None,2024-05-28 22h35.43.996297 +0330,
,,,,2.730207899934612,,,,,,,,,2.708639199961908,2.730207899934612,,8.187066199956462,8.187105399905704,,,,,,,,
