dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0030122000025585294,0.005939099937677383,0.005939099937677383,2.373818299965933,space,2.3562718000030145,None,,,,,,,,,,,,,,,,,,,,701392,001,2024-05-29_01h11.26.550,article2,2024.1.4,None,2024-05-29 01h11.31.604462 +0330,
27,0.5,3.png,0,0,0,1,2.392288799979724,,,,,,,,,2.3894912999821827,2.392288799979724,6.465881099924445,6.389709600014612,6.38976199994795,6.465881099924445,6.465881099924445,6.465881099924445,6.465881099924445,10.434917000005953,10.500391199951991,11.399183499976061,3.png,Reject,Accept,,None,,,701392,001,2024-05-29_01h11.26.550,article2,2024.1.4,None,2024-05-29 01h11.31.604462 +0330,
50,0.57,5.png,0,1,1,3,11.40179079992231,,,,,,,,,11.399534899974242,11.40179079992231,15.429587199934758,15.390064099919982,15.390125699923374,15.429587199934758,15.429587199934758,15.429587199934758,15.429587199934758,19.429366900003515,19.460985000012442,20.41614419990219,5.png,Accept,Reject,Accept,left,1.210117599926889,0.09430880006402731,701392,001,2024-05-29_01h11.26.550,article2,2024.1.4,None,2024-05-29 01h11.31.604462 +0330,
12,0.4,2.png,0,2,2,0,20.418583099963143,,,,,,,,,20.41646320000291,20.418583099963143,23.447258099913597,23.406372800003737,23.406429199967533,23.447258099913597,23.447258099913597,23.447258099913597,23.447258099913597,27.451901499996893,27.48509059997741,28.433971499907784,2.png,Reject,Accept,Accept,right,2.2282364999409765,0.08195710007566959,701392,001,2024-05-29_01h11.26.550,article2,2024.1.4,None,2024-05-29 01h11.31.604462 +0330,
20,0.61,4.png,0,3,3,2,28.436468699947,,,,,,,,,28.434258900000714,28.436468699947,34.46532329998445,34.42267559992615,34.42273170000408,34.46532329998445,34.46532329998445,34.46532329998445,34.46532329998445,38.466944099985994,38.49878579995129,39.451583099900745,4.png,Reject,Accept,Reject,left,3.380843900027685,0.08297650003805757,701392,001,2024-05-29_01h11.26.550,article2,2024.1.4,None,2024-05-29 01h11.31.604462 +0330,
