dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,self_trial.stopped,image_name,textbox_left,textbox_right,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0035764999920502305,0.0071084999945014715,0.0071084999945014715,1.9806663999333978,space,1.966887400019914,None,,,,,,,,,,,,,108936,001,2024-05-29_00h34.27.002,article2,2024.1.4,None,2024-05-29 00h34.34.092916 +0330,
27,0.5,3.png,0,0,0,1,2.0025927999522537,,,,,,,,,1.9991750000044703,2.0025927999522537,7.174494399921969,6.992467899923213,6.9925158999394625,7.174494399921969,7.174494399921969,7.174494399921969,11.021287499926984,3.png,Reject,Accept,108936,001,2024-05-29_00h34.27.002,article2,2024.1.4,None,2024-05-29 00h34.34.092916 +0330,
,,,,,,,11.025824299897067,,,,,,,,,11.021811999962665,11.025824299897067,13.089870799914934,13.025780399912037,13.025843199924566,13.089870799914934,13.089870799914934,13.089870799914934,,,,,,,,,,,,
