dollar,probability,image_name,selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,image1.started,textbox_left.started,textbox_right.started,key_resp.started,polygon.started,key_resp.stopped,self_trial.stopped,image_name,textbox_left,textbox_right,selection,key_resp.keys,key_resp.rt,key_resp.duration,text_2.started,text2.started,text2_key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0022094999440014362,0.0055602999636903405,0.0055602999636903405,1.2220486999722198,space,1.1990141000133008,None,,,,,,,,,,,,,,,,,,,,,,,792679,001,2024-05-29_02h06.56.618,article2,2024.1.4,None,2024-05-29 02h07.06.059932 +0330,
12,0.4,2.png,0,0,0,0,1.2462615999393165,,,,,,,,,1.2429169999668375,1.2462615999393165,3.5466777000110596,3.23755799990613,3.2376221999293193,3.5466777000110596,3.5466777000110596,3.5466777000110596,3.5466777000110596,7.315431999973953,7.616277699940838,8.26849879999645,2.png,Reject,Accept,Accept,right,3.0102008000249043,0.12313389999326319,,,,792679,001,2024-05-29_02h06.56.618,article2,2024.1.4,None,2024-05-29 02h07.06.059932 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.269186299992725,8.27252130000852,8.27252130000852,,,,,,,,
