selt_trials.thisRepN,selt_trials.thisTrialN,selt_trials.thisN,selt_trials.thisIndex,thisRow.t,notes,text_1.started,text1.started,text1_key_resp.started,text_1.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,intertrial.started,fixation1.started,fixation1.stopped,intertrial.stopped,self_trial.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0438469999935478,0.062241399893537164,0.062241399893537164,3.1377407999243587,space,3.0589301999425516,None,,,,,,728415,001,2024-05-28_22h29.17.592,article2,2024.1.4,None,2024-05-28 22h29.26.617634 +0330,
,,,,3.1607175999088213,,,,,,,,,3.1390136999543756,3.1607175999088213,,7.2199946999317035,7.220030599972233,,,,,,,,
